PlaneID	Status	Request time	Runaway Time	Turnaround Time
-------	------	------------	-------------	---------------
  1	  L	     0		     0		      0
  2	  D	     0		     4		      4
  5	  L	     5		     6		      1
  7	  L	     7		     8		      1
  9	  L	     8		    10		      2
  4	  D	     1		    12		     11
 11	  L	    12		    14		      2
 13	  L	    13		    16		      3
 15	  L	    16		    18		      2
  6	  D	     5		    20		     15
  8	  D	     7		    22		     15
 10	  D	     8		    24		     16
 17	  L	    24		    26		      2
 12	  D	    12		    28		     16
 19	  L	    28		    30		      2
 14	  D	    13		    32		     19
 21	  L	    32		    34		      2
 23	  L	    34		    36		      2
 25	  L	    35		    38		      3
 27	  L	    37		    40		      3
 33	  E	    40		    40		      0
 29	  L	    38		    44		      6
 31	  L	    39		    46		      7
 34	  L	    41		    48		      7
 36	  L	    43		    50		      7
 38	  L	    46		    52		      6
 40	  L	    48		    54		      6
 42	  L	    49		    56		      7
 44	  L	    50		    58		      8
 46	  L	    51		    60		      9
