PlaneID	Status	Request time	Runaway Time	Turnaround Time
-------	------	------------	-------------	---------------
  1	  L	     1		     1		      0
  5	  L	     3		     5		      2
  7	  L	     4		     7		      3
  9	  L	     5		     9		      4
 11	  L	     6		    11		      5
 13	  L	     8		    13		      5
  2	  D	     1		    15		     14
  4	  D	     2		    17		     15
  6	  D	     3		    19		     16
 15	  L	    19		    21		      2
 17	  L	    20		    23		      3
 19	  L	    22		    25		      3
 21	  L	    24		    27		      3
 23	  L	    27		    29		      2
 25	  L	    29		    31		      2
 27	  L	    30		    33		      3
 29	  L	    31		    35		      4
 31	  L	    32		    37		      5
 33	  L	    33		    39		      6
 41	  E	    40		    41		      1
 35	  L	    34		    43		      9
 38	  L	    37		    45		      8
 39	  L	    38		    47		      9
 42	  L	    41		    49		      8
 44	  L	    45		    51		      6
 46	  L	    46		    53		      7
 48	  L	    47		    55		      8
 50	  L	    50		    57		      7
 52	  L	    51		    59		      8
